success,spl,Ospl,distance_to_goal,id,island,island_area,long_memory_query,working_memory_query,search_point
1.0,0.3819280276799709,0.3819280276799709,0.6895411610603333,X7HyMhZNoso,0,289.2652282714844,0,5,5
0.0,0.0,0.0,6.251577377319336,X7HyMhZNoso,0,289.2652282714844,0,5,5
1.0,0.4237536607790894,0.4237536607790894,2.4995675086975098,X7HyMhZNoso,0,289.2652282714844,0,4,4
0.0,0.0,0.0,6.080692291259766,X7HyMhZNoso,0,289.2652282714844,0,7,7
0.0,0.0,0.0,5.736983299255371,X7HyMhZNoso,0,289.2652282714844,0,3,3
0.0,0.0,0.0,3.1585474014282227,X7HyMhZNoso,0,289.2652282714844,0,3,3
1.0,0.24069829962566358,0.24069829962566358,1.4187939167022705,X7HyMhZNoso,0,289.2652282714844,0,9,9
0.0,0.0,0.0,5.752072334289551,X7HyMhZNoso,0,289.2652282714844,0,2,2
1.0,0.7051993179043776,0.7051993179043776,1.9827022552490234,X7HyMhZNoso,0,289.2652282714844,0,3,3
0.0,0.0,0.0,3.172927141189575,X7HyMhZNoso,0,289.2652282714844,0,2,2
0.0,0.0,0.0,11.926374435424805,X7HyMhZNoso,0,289.2652282714844,0,4,4
1.0,0.3063934678124235,0.3063934678124235,2.375631809234619,X7HyMhZNoso,0,289.2652282714844,0,5,5
0.0,0.0,0.0,13.46768569946289,X7HyMhZNoso,0,289.2652282714844,0,7,7
0.0,0.0,0.0,14.505841255187988,X7HyMhZNoso,0,289.2652282714844,0,3,3
1.0,0.15481030197225606,0.15481030197225606,2.7332980632781982,X7HyMhZNoso,0,289.2652282714844,0,5,5
1.0,0.11097247545636438,0.11097247545636438,2.741446018218994,X7HyMhZNoso,0,289.2652282714844,0,3,3
0.0,0.0,0.0,4.577053546905518,TbHJrupSAjP,0,226.20193481445312,0,7,7
0.0,0.0,0.0,10.144956588745117,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,12.349235534667969,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,10.80461311340332,TbHJrupSAjP,0,226.20193481445312,0,6,6
0.0,0.0,0.0,11.221593856811523,TbHJrupSAjP,0,226.20193481445312,0,5,5
0.0,0.0,0.0,13.466119766235352,TbHJrupSAjP,0,226.20193481445312,0,3,3
0.0,0.0,0.0,14.05142879486084,TbHJrupSAjP,0,226.20193481445312,0,5,5
0.0,0.0,0.0,19.938711166381836,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,6.214674472808838,TbHJrupSAjP,0,226.20193481445312,0,2,2
1.0,0.1519433011594705,0.1519433011594705,2.596311330795288,TbHJrupSAjP,0,226.20193481445312,0,6,6
1.0,0.35141518413564476,0.35141518413564476,2.8406527042388916,TbHJrupSAjP,0,226.20193481445312,0,6,6
0.0,0.0,0.0,14.83224105834961,TbHJrupSAjP,0,226.20193481445312,0,7,7
1.0,0.19352557737907636,0.19352557737907636,2.4229390621185303,TbHJrupSAjP,0,226.20193481445312,0,5,5
0.0,0.0,0.0,20.617263793945312,TbHJrupSAjP,0,226.20193481445312,0,8,8
0.0,0.0,0.0,3.75579833984375,TbHJrupSAjP,0,226.20193481445312,0,3,3
0.0,0.0,0.0,12.460443496704102,QUCTc6BB5sX,0,299.954345703125,0,6,6
0.0,0.0,0.0,44.90283966064453,QUCTc6BB5sX,0,299.954345703125,0,7,7
1.0,0.5117715856511178,0.5117715856511178,2.7231194972991943,QUCTc6BB5sX,0,299.954345703125,0,3,3
1.0,0.12171798524499916,0.12171798524499916,1.466936469078064,QUCTc6BB5sX,0,299.954345703125,0,7,7
1.0,0.2864163845410812,0.2864163845410812,0.24599191546440125,QUCTc6BB5sX,0,299.954345703125,0,4,4
0.0,0.0,0.0,34.646827697753906,QUCTc6BB5sX,0,299.954345703125,0,2,2
0.0,0.0,0.0,17.01603889465332,QUCTc6BB5sX,0,299.954345703125,0,9,9
1.0,0.17243204526530684,0.17243204526530684,2.4852747917175293,2azQ1b91cZZ,0,287.629638671875,0,6,6
1.0,0.1490203838971516,0.1490203838971516,0.978930652141571,2azQ1b91cZZ,0,287.629638671875,0,3,3
0.0,0.0,0.0,10.384644508361816,2azQ1b91cZZ,0,287.629638671875,0,5,5
0.0,0.0,0.0,6.7683634757995605,2azQ1b91cZZ,0,287.629638671875,0,3,3
0.0,0.0,0.0,16.31380844116211,2azQ1b91cZZ,0,287.629638671875,0,5,5
0.0,0.0,0.0,3.0962724685668945,2azQ1b91cZZ,0,287.629638671875,0,4,4
0.0,0.0,0.0,6.3836212158203125,2azQ1b91cZZ,0,287.629638671875,0,2,2
1.0,0.09431463958809286,0.09431463958809286,0.8490598201751709,2azQ1b91cZZ,0,287.629638671875,0,6,6
0.0,0.0,0.0,12.457817077636719,2azQ1b91cZZ,0,287.629638671875,0,4,4
0.0,0.0,0.0,15.624241828918457,zsNo4HB9uLZ,0,109.55327606201172,0,5,5
1.0,0.3365566161052196,0.3365566161052196,0.3793083131313324,zsNo4HB9uLZ,0,109.55327606201172,0,3,3
0.0,0.0,0.0,11.499795913696289,zsNo4HB9uLZ,0,109.55327606201172,0,4,4
0.0,0.0,0.0,4.118801116943359,zsNo4HB9uLZ,0,109.55327606201172,0,4,4
1.0,0.22003482903956662,0.22003482903956662,1.0152255296707153,zsNo4HB9uLZ,0,109.55327606201172,0,7,7
1.0,0.5327428926974935,0.5327428926974935,2.5465598106384277,zsNo4HB9uLZ,0,109.55327606201172,0,3,3
0.0,0.0,0.0,7.821005821228027,zsNo4HB9uLZ,0,109.55327606201172,0,5,5
0.0,0.0,0.0,13.5018949508667,zsNo4HB9uLZ,0,109.55327606201172,0,11,11
1.0,0.8514672389281969,0.8514672389281969,1.4854246377944946,Z6MFQCViBuw,0,402.77545166015625,0,8,8
0.0,0.0,0.0,36.34706115722656,Z6MFQCViBuw,0,402.77545166015625,0,6,6
0.0,0.0,0.0,9.072810173034668,Z6MFQCViBuw,0,402.77545166015625,0,5,5
0.0,0.0,0.0,25.467199325561523,Z6MFQCViBuw,0,402.77545166015625,0,4,4
0.0,0.0,0.0,17.173147201538086,Z6MFQCViBuw,0,402.77545166015625,0,3,3
0.0,0.0,0.0,16.933950424194336,Z6MFQCViBuw,0,402.77545166015625,0,3,3
0.0,0.0,0.0,15.739100456237793,Z6MFQCViBuw,0,402.77545166015625,0,6,6
0.0,0.0,0.0,11.96355152130127,EU6Fwq7SyZv,0,131.8668670654297,0,2,2
1.0,0.2556703241427321,0.2556703241427321,0.6919739842414856,EU6Fwq7SyZv,0,131.8668670654297,0,4,4
0.0,0.0,0.0,7.219662189483643,EU6Fwq7SyZv,0,131.8668670654297,0,4,4
0.0,0.0,0.0,16.325803756713867,EU6Fwq7SyZv,0,131.8668670654297,0,1,1
0.0,0.0,0.0,4.416928768157959,EU6Fwq7SyZv,0,131.8668670654297,0,4,4
1.0,0.3740750378963515,0.3740750378963515,2.4885811805725098,EU6Fwq7SyZv,0,131.8668670654297,0,2,2
0.0,0.0,0.0,7.667759418487549,EU6Fwq7SyZv,0,131.8668670654297,0,5,5
0.0,0.0,0.0,8.417325973510742,EU6Fwq7SyZv,0,131.8668670654297,0,4,4
0.0,0.0,0.0,6.893645286560059,EU6Fwq7SyZv,0,131.8668670654297,0,5,5
0.0,0.0,0.0,4.248887538909912,EU6Fwq7SyZv,0,131.8668670654297,0,6,6
1.0,0.5772585429815518,0.5772585429815518,2.358710289001465,EU6Fwq7SyZv,0,131.8668670654297,0,2,2
0.0,0.0,0.0,16.925962448120117,EU6Fwq7SyZv,0,131.8668670654297,0,6,6
0.0,0.0,0.0,9.072811126708984,oLBMNvg9in8,0,143.6818084716797,0,4,4
0.0,0.0,0.0,17.054698944091797,oLBMNvg9in8,0,143.6818084716797,0,6,6
1.0,0.4551254616484508,0.4551254616484508,1.9420965909957886,oLBMNvg9in8,0,143.6818084716797,0,3,3
1.0,0.2819061930826927,0.2819061930826927,2.54433012008667,oLBMNvg9in8,0,143.6818084716797,0,7,7
0.0,0.0,0.0,18.799732208251953,oLBMNvg9in8,0,143.6818084716797,0,4,4
0.0,0.0,0.0,9.172313690185547,oLBMNvg9in8,0,143.6818084716797,0,5,5
0.0,0.0,0.0,3.119234561920166,oLBMNvg9in8,0,143.6818084716797,0,2,2
