id,island,island_area,long_memory_query,working_memory_query,search_point
00876-mv2HUxq3B53,0,135.76968383789062,0,0,0
00876-mv2HUxq3B53,0,135.76968383789062,0,0,0
00876-mv2HUxq3B53,0,135.76968383789062,0,0,0
00876-mv2HUxq3B53,0,135.76968383789062,0,0,0
00810-CrMo8WxCyVb,0,104.38074493408203,0,0,0
00810-CrMo8WxCyVb,0,104.38074493408203,0,0,0
00810-CrMo8WxCyVb,0,104.38074493408203,0,0,0
00810-CrMo8WxCyVb,0,104.38074493408203,0,0,0
00810-CrMo8WxCyVb,0,104.38074493408203,0,0,0
00843-DYehNKdT76V,0,62.364925384521484,0,0,0
00843-DYehNKdT76V,0,62.364925384521484,0,0,0
00843-DYehNKdT76V,0,62.364925384521484,0,0,0
00815-h1zeeAwLh9Z,0,64.93303680419922,0,0,0
00853-5cdEh9F2hJL,0,77.00389099121094,0,0,0
00853-5cdEh9F2hJL,0,77.00389099121094,0,0,0
00873-bxsVRursffK,0,64.13450622558594,0,0,0
00873-bxsVRursffK,0,64.13450622558594,0,0,0
00873-bxsVRursffK,0,64.13450622558594,0,0,0
00873-bxsVRursffK,0,64.13450622558594,0,0,0
00877-4ok3usBNeis,0,75.36964416503906,0,0,0
00877-4ok3usBNeis,0,75.36964416503906,0,0,0
00877-4ok3usBNeis,0,75.36964416503906,0,0,0
00877-4ok3usBNeis,0,75.36964416503906,0,0,0
00877-4ok3usBNeis,0,75.36964416503906,0,0,0
00877-4ok3usBNeis,0,75.36964416503906,0,0,0
00835-q3zU7Yy5E5s,1,23.304763793945312,0,0,0
00835-q3zU7Yy5E5s,1,23.304763793945312,0,0,0
00878-XB4GS9ShBRE,0,48.26987838745117,0,0,0
00878-XB4GS9ShBRE,0,48.26987838745117,0,0,0
00878-XB4GS9ShBRE,0,48.26987838745117,0,0,0
00878-XB4GS9ShBRE,0,48.26987838745117,0,0,0
00878-XB4GS9ShBRE,0,48.26987838745117,0,0,0
00878-XB4GS9ShBRE,0,48.26987838745117,0,0,0
00878-XB4GS9ShBRE,0,48.26987838745117,0,0,0
00848-ziup5kvtCCR,0,60.34342956542969,0,0,0
00848-ziup5kvtCCR,0,60.34342956542969,0,0,0
00848-ziup5kvtCCR,0,60.34342956542969,0,0,0
00848-ziup5kvtCCR,0,60.34342956542969,0,0,0
00848-ziup5kvtCCR,0,60.34342956542969,0,0,0
00808-y9hTuugGdiq,0,100.99866485595703,0,0,0
00808-y9hTuugGdiq,0,100.99866485595703,0,0,0
00808-y9hTuugGdiq,0,100.99866485595703,0,0,0
00823-7MXmsvcQjpJ,1,85.10262298583984,0,0,0
00823-7MXmsvcQjpJ,1,85.10262298583984,0,0,0
00823-7MXmsvcQjpJ,1,85.10262298583984,0,0,0
00823-7MXmsvcQjpJ,1,85.10262298583984,0,0,0
00823-7MXmsvcQjpJ,1,85.10262298583984,0,0,0
00823-7MXmsvcQjpJ,1,85.10262298583984,0,0,0
00827-BAbdmeyTvMZ,0,58.549068450927734,0,0,0
00827-BAbdmeyTvMZ,0,58.549068450927734,0,0,0
00827-BAbdmeyTvMZ,0,58.549068450927734,0,0,0
00820-mL8ThkuaVTM,0,49.380516052246094,0,0,0
00880-Nfvxx8J5NCo,0,63.492286682128906,0,0,0
00880-Nfvxx8J5NCo,0,63.492286682128906,0,0,0
